08868: Fangst, etter år, landingskommune, fangstart og statistikkvariabel;;;;
;;;;
år;landingskommune;fangstart;Mengde (tonn);Verdi (1 000 kr)
2000;0237 Eidsvoll (-2019);Andre skaldyr og blautdyr;0;0
2000;0237 Eidsvoll (-2019);Annan fisk, uspesifisert;0;0
2000;0238 Nannestad (-2019);Fisk i alt;0;0
2000;0238 Nannestad (-2019);Pelagisk fisk;0;0
2000;0238 Nannestad (-2019);Torsk og torskeartar;0;0
2000;0238 Nannestad (-2019);Flatfisk og botnfisk;0;0
2000;0238 Nannestad (-2019);Djupvassfisk;0;0
2000;0238 Nannestad (-2019);Andre skaldyr og blautdyr;0;0
2000;0238 Nannestad (-2019);Annan fisk, uspesifisert;0;0
2000;0239 Hurdal (-2019);Fisk i alt;0;0
2000;0239 Hurdal (-2019);Pelagisk fisk;0;0
2000;0239 Hurdal (-2019);Torsk og torskeartar;0;0
2000;0239 Hurdal (-2019);Flatfisk og botnfisk;0;0
2000;0239 Hurdal (-2019);Djupvassfisk;0;0
2000;0239 Hurdal (-2019);Andre skaldyr og blautdyr;0;0
2000;0239 Hurdal (-2019);Annan fisk, uspesifisert;0;0
2000;0299 Uoppgitt kommune Akershus;Fisk i alt;0;0
2000;0299 Uoppgitt kommune Akershus;Pelagisk fisk;0;0
2000;0299 Uoppgitt kommune Akershus;Torsk og torskeartar;0;0
2000;0299 Uoppgitt kommune Akershus;Flatfisk og botnfisk;0;0
2000;0299 Uoppgitt kommune Akershus;Djupvassfisk;0;0
2000;0299 Uoppgitt kommune Akershus;Andre skaldyr og blautdyr;0;0
2000;0299 Uoppgitt kommune Akershus;Annan fisk, uspesifisert;0;0
2000;0301 Oslo kommune;Fisk i alt;394;7021
2000;0301 Oslo kommune;Pelagisk fisk;23;372
2000;0301 Oslo kommune;Torsk og torskeartar;:;:
2000;0301 Oslo kommune;Flatfisk og botnfisk;:;:
2000;0301 Oslo kommune;Djupvassfisk;:;:
2000;0301 Oslo kommune;Andre skaldyr og blautdyr;279;4468
2000;0301 Oslo kommune;Annan fisk, uspesifisert;9;124
2000;0399 Uoppgitt komm. Oslo;Fisk i alt;0;0
2000;0399 Uoppgitt komm. Oslo;Pelagisk fisk;0;0
2000;0399 Uoppgitt komm. Oslo;Torsk og torskeartar;0;0
2000;0399 Uoppgitt komm. Oslo;Flatfisk og botnfisk;0;0
2000;0399 Uoppgitt komm. Oslo;Djupvassfisk;0;0
2000;0399 Uoppgitt komm. Oslo;Andre skaldyr og blautdyr;0;0
2000;0399 Uoppgitt komm. Oslo;Annan fisk, uspesifisert;0;0
2000;0401 Hamar (-1991);Fisk i alt;0;0
2000;0401 Hamar (-1991);Pelagisk fisk;0;0
2000;0401 Hamar (-1991);Torsk og torskeartar;0;0
